tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2018-06-20,73.0,26.0,16.0,86.0,10.0,86.0,O3,SEDANG,DKI5
2018-06-21,51.0,27.0,11.0,70.0,5.0,70.0,O3,SEDANG,DKI5
2018-06-22,66.0,28.0,17.0,94.0,13.0,94.0,O3,SEDANG,DKI5
2018-06-23,81.0,27.0,14.0,77.0,10.0,81.0,PM10,SEDANG,DKI4
2018-06-24,50.0,25.0,15.0,110.0,10.0,110.0,O3,TIDAK SEHAT,DKI5
2018-06-25,35.0,25.0,14.0,100.0,11.0,100.0,O3,SEDANG,DKI5
2018-06-26,56.0,26.0,43.0,107.0,23.0,107.0,O3,TIDAK SEHAT,DKI2
2018-06-27,60.0,26.0,23.0,136.0,19.0,136.0,O3,TIDAK SEHAT,DKI5
2018-06-28,69.0,27.0,24.0,146.0,10.0,146.0,O3,TIDAK SEHAT,DKI5
2018-06-29,73.0,28.0,18.0,213.0,20.0,213.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-06-30,67.0,30.0,17.0,193.0,15.0,193.0,O3,TIDAK SEHAT,DKI2
2018-07-01,96.0,28.0,27.0,205.0,20.0,205.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-07-02,79.0,29.0,28.0,142.0,20.0,142.0,O3,TIDAK SEHAT,DKI5
2018-07-03,79.0,29.0,23.0,166.0,16.0,166.0,O3,TIDAK SEHAT,DKI2
2018-07-04,104.0,31.0,24.0,209.0,19.0,209.0,O3,SANGAT TIDAK SEHAT,DKI2
2018-07-05,63.0,29.0,16.0,123.0,13.0,123.0,O3,TIDAK SEHAT,DKI5
2018-07-06,74.0,31.0,16.0,113.0,19.0,113.0,O3,TIDAK SEHAT,DKI5
2018-07-07,95.0,32.0,32.0,104.0,24.0,104.0,O3,TIDAK SEHAT,DKI5
2018-07-08,95.0,29.0,32.0,111.0,22.0,111.0,O3,TIDAK SEHAT,DKI2
2018-07-09,69.0,29.0,17.0,116.0,17.0,116.0,O3,TIDAK SEHAT,DKI5
2018-07-10,87.0,29.0,19.0,124.0,16.0,124.0,O3,TIDAK SEHAT,DKI2
2018-07-11,73.0,32.0,17.0,129.0,20.0,129.0,O3,TIDAK SEHAT,DKI2
2018-07-12,74.0,32.0,16.0,117.0,18.0,117.0,O3,TIDAK SEHAT,DKI5
2018-07-13,80.0,30.0,17.0,107.0,18.0,107.0,O3,TIDAK SEHAT,DKI2
2018-07-14,84.0,33.0,19.0,117.0,19.0,117.0,O3,TIDAK SEHAT,DKI2
2018-07-15,63.0,29.0,14.0,129.0,11.0,129.0,O3,TIDAK SEHAT,DKI2
2018-07-16,61.0,33.0,14.0,222.0,18.0,222.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-07-17,81.0,30.0,20.0,205.0,19.0,205.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-07-18,88.0,29.0,25.0,208.0,20.0,208.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-07-19,82.0,30.0,19.0,188.0,19.0,188.0,O3,TIDAK SEHAT,DKI5
2018-07-20,79.0,30.0,16.0,113.0,18.0,113.0,O3,TIDAK SEHAT,DKI5
2018-07-21,74.0,32.0,14.0,151.0,16.0,151.0,O3,TIDAK SEHAT,DKI5
2018-07-22,77.0,29.0,22.0,166.0,15.0,166.0,O3,TIDAK SEHAT,DKI5
2018-07-23,63.0,25.0,23.0,191.0,22.0,191.0,O3,TIDAK SEHAT,DKI5
2018-07-24,92.0,32.0,23.0,184.0,22.0,184.0,O3,TIDAK SEHAT,DKI5
2018-07-25,75.0,29.0,23.0,153.0,17.0,153.0,O3,TIDAK SEHAT,DKI5
2018-07-26,78.0,33.0,22.0,168.0,20.0,168.0,O3,TIDAK SEHAT,DKI5
2018-07-27,86.0,31.0,19.0,197.0,18.0,197.0,O3,TIDAK SEHAT,DKI5
2018-07-28,92.0,32.0,31.0,234.0,20.0,234.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-07-29,77.0,30.0,23.0,202.0,20.0,202.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-07-30,92.0,31.0,23.0,174.0,27.0,174.0,O3,TIDAK SEHAT,DKI5
2018-07-31,79.0,29.0,22.0,156.0,21.0,156.0,O3,TIDAK SEHAT,DKI5
2018-08-01,86.0,31.0,21.0,129.0,24.0,129.0,O3,TIDAK SEHAT,
2018-08-02,68.0,31.0,18.0,207.0,20.0,207.0,O3,SANGAT TIDAK SEHAT,
2018-08-03,68.0,32.0,16.0,211.0,17.0,211.0,O3,SANGAT TIDAK SEHAT,
2018-08-04,59.0,31.0,16.0,194.0,16.0,194.0,O3,TIDAK SEHAT,
2018-08-05,65.0,35.0,14.0,203.0,16.0,203.0,O3,SANGAT TIDAK SEHAT,
2018-08-06,71.0,34.0,13.0,202.0,23.0,202.0,O3,SANGAT TIDAK SEHAT,
2018-08-07,79.0,35.0,21.0,162.0,25.0,162.0,O3,TIDAK SEHAT,
2018-08-08,92.0,33.0,28.0,144.0,29.0,144.0,O3,TIDAK SEHAT,
2018-08-09,75.0,37.0,22.0,186.0,18.0,186.0,O3,TIDAK SEHAT,
2018-08-10,65.0,33.0,18.0,165.0,17.0,165.0,O3,TIDAK SEHAT,
2018-08-11,69.0,31.0,17.0,126.0,19.0,126.0,O3,TIDAK SEHAT,
2018-08-12,77.0,31.0,20.0,127.0,15.0,127.0,O3,TIDAK SEHAT,
2018-08-13,66.0,30.0,14.0,134.0,14.0,134.0,O3,TIDAK SEHAT,
2018-08-14,74.0,31.0,19.0,151.0,13.0,151.0,O3,TIDAK SEHAT,
2018-08-15,62.0,30.0,15.0,185.0,16.0,185.0,O3,TIDAK SEHAT,
